date,number
15-Apr-2005,1
22-Apr-2005,1
29-Apr-2005,1
7-May-2005,2
14-May-2005,2
22-May-2005,2
29-May-2005,2
5-Jun-2005,2
13-Jun-2005,2
20-Jun-2005,3
28-Jun-2005,3
5-Jul-2005,3
13-Jul-2005,4
20-Jul-2005,4
27-Jul-2005,4
4-Aug-2005,4
11-Aug-2005,4
19-Aug-2005,4
26-Aug-2005,4
2-Sep-2005,4
10-Sep-2005,4
17-Sep-2005,4
25-Sep-2005,4
2-Oct-2005,4
10-Oct-2005,4
17-Oct-2005,4
24-Oct-2005,4
1-Nov-2005,4
8-Nov-2005,4
16-Nov-2005,4
23-Nov-2005,4
1-Dec-2005,5
8-Dec-2005,5
15-Dec-2005,6
23-Dec-2005,6
30-Dec-2005,6
7-Jan-2006,6
14-Jan-2006,7
21-Jan-2006,7
29-Jan-2006,7
5-Feb-2006,8
13-Feb-2006,8
20-Feb-2006,8
28-Feb-2006,8
7-Mar-2006,9
14-Mar-2006,9
22-Mar-2006,10
29-Mar-2006,10
6-Apr-2006,11
13-Apr-2006,11
21-Apr-2006,12
28-Apr-2006,12
5-May-2006,12
13-May-2006,13
20-May-2006,13
28-May-2006,13
4-Jun-2006,13
11-Jun-2006,14
19-Jun-2006,14
26-Jun-2006,14
4-Jul-2006,14
11-Jul-2006,14
19-Jul-2006,14
26-Jul-2006,14
2-Aug-2006,14
10-Aug-2006,14
17-Aug-2006,14
25-Aug-2006,14
1-Sep-2006,14
9-Sep-2006,14
16-Sep-2006,14
23-Sep-2006,16
1-Oct-2006,17
8-Oct-2006,17
16-Oct-2006,17
23-Oct-2006,17
30-Oct-2006,17
7-Nov-2006,18
14-Nov-2006,18
22-Nov-2006,20
29-Nov-2006,20
7-Dec-2006,20
14-Dec-2006,21
21-Dec-2006,21
29-Dec-2006,21
5-Jan-2007,23
13-Jan-2007,23
20-Jan-2007,23
28-Jan-2007,24
4-Feb-2007,25
11-Feb-2007,25
19-Feb-2007,26
26-Feb-2007,27
6-Mar-2007,29
13-Mar-2007,30
20-Mar-2007,31
28-Mar-2007,31
4-Apr-2007,34
12-Apr-2007,36
19-Apr-2007,37
27-Apr-2007,39
4-May-2007,41
11-May-2007,41
19-May-2007,41
26-May-2007,43
3-Jun-2007,43
10-Jun-2007,44
18-Jun-2007,45
25-Jun-2007,45
2-Jul-2007,47
10-Jul-2007,49
17-Jul-2007,49
25-Jul-2007,50
1-Aug-2007,51
8-Aug-2007,51
16-Aug-2007,52
23-Aug-2007,53
31-Aug-2007,54
7-Sep-2007,54
15-Sep-2007,54
22-Sep-2007,54
29-Sep-2007,55
7-Oct-2007,55
14-Oct-2007,55
22-Oct-2007,56
29-Oct-2007,57
6-Nov-2007,57
13-Nov-2007,58
20-Nov-2007,59
28-Nov-2007,59
5-Dec-2007,60
