date,number
17-Mar-2008,1
24-Mar-2008,1
31-Mar-2008,1
7-Apr-2008,5
14-Apr-2008,5
21-Apr-2008,7
28-Apr-2008,8
5-May-2008,12
12-May-2008,13
19-May-2008,14
26-May-2008,15
2-Jun-2008,19
9-Jun-2008,20
16-Jun-2008,23
23-Jun-2008,23
30-Jun-2008,27
7-Jul-2008,28
14-Jul-2008,30
21-Jul-2008,33
28-Jul-2008,40
4-Aug-2008,44
11-Aug-2008,47
18-Aug-2008,52
25-Aug-2008,62
1-Sep-2008,64
8-Sep-2008,70
15-Sep-2008,77
22-Sep-2008,84
29-Sep-2008,89
6-Oct-2008,91
13-Oct-2008,101
20-Oct-2008,102
27-Oct-2008,108
3-Nov-2008,114
10-Nov-2008,127
17-Nov-2008,137
24-Nov-2008,143
1-Dec-2008,150
8-Dec-2008,159
15-Dec-2008,166
22-Dec-2008,178
29-Dec-2008,185
5-Jan-2009,191
12-Jan-2009,202
19-Jan-2009,209
26-Jan-2009,218
2-Feb-2009,225
9-Feb-2009,233
16-Feb-2009,244
23-Feb-2009,256
2-Mar-2009,271
9-Mar-2009,283
16-Mar-2009,297
23-Mar-2009,311
30-Mar-2009,321
6-Apr-2009,335
13-Apr-2009,354
20-Apr-2009,371
27-Apr-2009,385
4-May-2009,395
11-May-2009,407
18-May-2009,421
25-May-2009,435
1-Jun-2009,447
8-Jun-2009,452
15-Jun-2009,468
22-Jun-2009,474
29-Jun-2009,482
6-Jul-2009,488
13-Jul-2009,494
20-Jul-2009,505
27-Jul-2009,520
3-Aug-2009,529
10-Aug-2009,543
17-Aug-2009,551
24-Aug-2009,559
31-Aug-2009,573
7-Sep-2009,581
14-Sep-2009,588
21-Sep-2009,596
28-Sep-2009,610
5-Oct-2009,630
12-Oct-2009,641
19-Oct-2009,650
26-Oct-2009,673
2-Nov-2009,693
9-Nov-2009,712
16-Nov-2009,723
23-Nov-2009,739
30-Nov-2009,757
7-Dec-2009,781
14-Dec-2009,807
21-Dec-2009,832
28-Dec-2009,844
4-Jan-2010,863
11-Jan-2010,875
18-Jan-2010,904
25-Jan-2010,947
1-Feb-2010,979
8-Feb-2010,1004
15-Feb-2010,1023
22-Feb-2010,1061
1-Mar-2010,1092
8-Mar-2010,1111
15-Mar-2010,1132
22-Mar-2010,1172
29-Mar-2010,1197
5-Apr-2010,1218
12-Apr-2010,1239
19-Apr-2010,1261
26-Apr-2010,1284
3-May-2010,1322
10-May-2010,1355
17-May-2010,1383
24-May-2010,1404
31-May-2010,1427
7-Jun-2010,1452
14-Jun-2010,1476
21-Jun-2010,1505
28-Jun-2010,1522
5-Jul-2010,1546
12-Jul-2010,1578
19-Jul-2010,1609
26-Jul-2010,1631
2-Aug-2010,1665
9-Aug-2010,1686
16-Aug-2010,1720
23-Aug-2010,1737
30-Aug-2010,1759
6-Sep-2010,1780
13-Sep-2010,1805
20-Sep-2010,1842
27-Sep-2010,1893
4-Oct-2010,1930
11-Oct-2010,1949
18-Oct-2010,1983
25-Oct-2010,2032
1-Nov-2010,2092
8-Nov-2010,2146
15-Nov-2010,2170
22-Nov-2010,2219
29-Nov-2010,2249
6-Dec-2010,2333
13-Dec-2010,2391
20-Dec-2010,2457
27-Dec-2010,2495
3-Jan-2011,2562
10-Jan-2011,2603
17-Jan-2011,2649
24-Jan-2011,2719
31-Jan-2011,2825
7-Feb-2011,2904
14-Feb-2011,2984
21-Feb-2011,3029
28-Feb-2011,3109
7-Mar-2011,3186
14-Mar-2011,3269
21-Mar-2011,3329
28-Mar-2011,3398
4-Apr-2011,3456
11-Apr-2011,3510
18-Apr-2011,3569
25-Apr-2011,3618
2-May-2011,3659
9-May-2011,3699
16-May-2011,3749
23-May-2011,3806
30-May-2011,3869
6-Jun-2011,3903
13-Jun-2011,3941
20-Jun-2011,3988
27-Jun-2011,4054
4-Jul-2011,4125
11-Jul-2011,4190
18-Jul-2011,4276
25-Jul-2011,4329
1-Aug-2011,4425
8-Aug-2011,4501
15-Aug-2011,4574
22-Aug-2011,4626
29-Aug-2011,4733
5-Sep-2011,4794
12-Sep-2011,4866
19-Sep-2011,4950
26-Sep-2011,5070
3-Oct-2011,5160
10-Oct-2011,5255
17-Oct-2011,5369
24-Oct-2011,5480
31-Oct-2011,5576
7-Nov-2011,5690
14-Nov-2011,5763
21-Nov-2011,5890
28-Nov-2011,5987
5-Dec-2011,6146
12-Dec-2011,6274
19-Dec-2011,6442
26-Dec-2011,6616
2-Jan-2012,6788
9-Jan-2012,6938
16-Jan-2012,7064
23-Jan-2012,7229
30-Jan-2012,7377
6-Feb-2012,7511
13-Feb-2012,7623
20-Feb-2012,7737
27-Feb-2012,7868
5-Mar-2012,8016
12-Mar-2012,8114
19-Mar-2012,8228
26-Mar-2012,8325
2-Apr-2012,8531
9-Apr-2012,8628
16-Apr-2012,8770
23-Apr-2012,8914
30-Apr-2012,9084
7-May-2012,9197
14-May-2012,9390
21-May-2012,9594
28-May-2012,9692
4-Jun-2012,9859
11-Jun-2012,10003
18-Jun-2012,10141
25-Jun-2012,10393
2-Jul-2012,10611
9-Jul-2012,10718
16-Jul-2012,10932
23-Jul-2012,11131
30-Jul-2012,11371
6-Aug-2012,11613
13-Aug-2012,11853
20-Aug-2012,12007
27-Aug-2012,12215
3-Sep-2012,12478
10-Sep-2012,12689
17-Sep-2012,12881
24-Sep-2012,13109
1-Oct-2012,13318
8-Oct-2012,13461
15-Oct-2012,13676
22-Oct-2012,13858
29-Oct-2012,14097
5-Nov-2012,14440
12-Nov-2012,14630
19-Nov-2012,14975
26-Nov-2012,15246
3-Dec-2012,15720
10-Dec-2012,16136
17-Dec-2012,16687
24-Dec-2012,17102
31-Dec-2012,17859
7-Jan-2013,18220
14-Jan-2013,18564
21-Jan-2013,18770
28-Jan-2013,19167
4-Feb-2013,19640
11-Feb-2013,19930
18-Feb-2013,20164
25-Feb-2013,20514
4-Mar-2013,20899
11-Mar-2013,21162
